id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
163,きくいも　塊茎　水煮　,28,1.6,0.5,11.3,2.1,9.2,0
164,こんにゃく　精粉　,177,3,0.1,85.3,79.9,5.4,0
165,こんにゃく　板こんにゃく　精粉こんにゃく　,5,0.1,0,2.3,2.2,0.1,0
166,こんにゃく　板こんにゃく　生いもこんにゃく　,7,0.1,0.1,3.3,3,0.3,0
167,こんにゃく　赤こんにゃく　,5,0.1,0,2.5,2.3,0.2,0
168,こんにゃく　凍みこんにゃく　乾　,167,3.3,1.4,77.1,71.3,5.8,0.1
169,こんにゃく　凍みこんにゃく　ゆで　,36,0.7,0.3,16.8,15.5,1.3,0
170,こんにゃく　しらたき　,6,0.2,0,3,2.9,0.1,0
171,さつまいも　塊根　皮むき　生　,134,1.2,0.2,31.9,2.2,29.7,0
172,さつまいも　塊根　皮むき　蒸し　,134,1.2,0.2,31.9,2.3,29.6,0
173,さつまいも　塊根　皮むき　焼き　,163,1.4,0.2,39,3.5,35.5,0
174,さつまいも　塊根　皮つき　生　,140,0.9,0.5,33.1,2.8,30.3,0.1
175,さつまいも　塊根　皮つき　蒸し　,140,0.9,0.2,33.7,3.8,29.9,0.1
176,さつまいも　塊根　皮つき　天ぷら　,221,1.4,6.8,38.4,3.1,35.3,0.1
177,さつまいも　蒸し切干　,303,3.1,0.6,71.9,5.9,66,0
178,むらさきいも　塊根　皮むき　生　,133,1.2,0.3,31.7,2.5,29.2,0.1
179,むらさきいも　塊根　皮むき　蒸し　,132,1.2,0.3,31.4,3,28.4,0.1
180,さといも　球茎　生　,58,1.5,0.1,13.1,2.3,10.8,0
181,さといも　球茎　水煮　,59,1.5,0.1,13.4,2.4,11,0
182,さといも　球茎　冷凍　,72,2.2,0.1,16.1,2,14.1,0
183,セレベス　球茎　生　,89,2.2,0.3,19.8,2.3,17.5,0
184,セレベス　球茎　水煮　,85,2.1,0.3,19.1,2.2,16.9,0
185,たけのこいも　球茎　生　,103,1.7,0.4,23.5,2.8,20.7,0
186,たけのこいも　球茎　水煮　,96,1.6,0.4,21.8,2.4,19.4,0
187,みずいも　球茎　生　,117,0.7,0.4,27.6,2.2,25.4,0
188,みずいも　球茎　水煮　,110,0.7,0.4,26.1,2.5,23.6,0
189,やつがしら　球茎　生　,97,3,0.7,20.5,2.8,17.7,0
190,やつがしら　球茎　水煮　,93,2.7,0.6,20,2.8,17.2,0
191,じゃがいも　塊茎　生　,76,1.6,0.1,17.6,1.3,16.3,0
192,じゃがいも　塊茎　蒸し　,84,1.5,0.1,19.7,1.8,17.9,0
193,じゃがいも　塊茎　水煮　,73,1.5,0.1,16.8,1.6,15.2,0
194,じゃがいも　フライドポテト　,237,2.9,10.6,32.4,3.1,29.3,0
195,じゃがいも　乾燥マッシュポテト　,357,6.6,0.6,82.8,6.6,76.2,0.2
196,ヤーコン　塊根　生　,54,0.6,0.3,12.4,1.1,11.3,0
197,ヤーコン　塊根　水煮　,44,0.6,0.3,9.9,1.2,8.7,0
198,ながいも　いちょういも　塊根　生　,108,4.5,0.5,22.6,1.4,21.2,0
199,ながいも　ながいも　塊根　生　,65,2.2,0.3,13.9,1,12.9,0
200,ながいも　ながいも　塊根　水煮　,59,2,0.3,12.6,1.4,11.2,0
201,ながいも　やまといも　塊根　生　,123,4.5,0.2,27.1,2.5,24.6,0
202,じねんじょ　塊根　生　,121,2.8,0.7,26.7,2,24.7,0
203,だいじょ　塊根　生　,109,2.6,0.1,25,2.2,22.8,0.1
204,キャッサバでん粉　,346,0.1,0.2,85.3,0,85.3,0
205,くずでん粉　,347,0.2,0.2,85.6,0,85.6,0
206,米でん粉　,366,0.2,0.7,89.3,0,89.3,0
207,小麦でん粉　,351,0.2,0.5,86,0,86,0
208,サゴでん粉　,349,0.1,0.2,86.1,0,86.1,0
209,さつまいもでん粉　,332,0.1,0.2,82,0,82,0
210,じゃがいもでん粉　,330,0.1,0.1,81.6,0,81.6,0
